"projectID","projectAcronym","organisationID","vatNumber","name","shortName","SME","activityType","street","postCode","city","country","nutsCode","geolocation","organizationURL","contactForm","contentUpdateDate","rcn","order","role","ecContribution","netEcContribution","totalCost","endOfParticipation","active"
880002,"InnoCap Transylvania",998907844,"","AGENTIA DE DEZVOLTARE REGIONALA NORD-VEST","ADR NORD-VEST","false","PUB","SAT RADAIA 50","407059","Baciu Cluj","RO","RO113","46.7897349,23.5276882","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998907844/880002","2022-10-28 14:12:16",2113061,1,"coordinator",16682.5,16682.5,"16682,5","false",""
880002,"InnoCap Transylvania",944370370,"RO4443167","CAMERA DE COMERT SI INDUSTRIE BRASOV","CCIBV","false","PUB","MIHAIL KOGALNICEANU 18 20 BL 1K SC DD","500173","Brasov","RO","RO122","45.786022200000005,25.154073195629685","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/944370370/880002","2022-10-28 14:12:16",2561410,6,"participant",11105,11105,"11105","false",""
879557,"EEN-Ukraine",938295066,"","MINISTRY OF FOREIGN AFFAIRS","MINISTRY OF FOREIGN AFFAIRS OF UKRAINE","false","PUB","MYKHAILIVSKA SQUARE 1","01018","KYIV","UA","UA","50.456948440619016,30.52140968889898","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/938295066/879557","2023-03-10 20:16:12",3099134,5,"participant",NA,NA,"","false","false"
879557,"EEN-Ukraine",927605666,"","MINISTRY OF ECONOMY OF UKRAINE","MINISTRY OF ECONOMY OF UKRAINE","false","PUB","HRUSHEVSKOHO ST 12/2","01008","KYIV","UA","UA","50.4500336,30.5241361","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/927605666/879557","2023-03-10 20:16:12",3099136,7,"participant",NA,NA,"","false","false"
879557,"EEN-Ukraine",899486433,"","STATE INSTITUTION ENTREPRENEURSHIP AND EXPORT PROMOTION OFFICE","","false","PUB","BOULEVARD DRUZHBY NARODIV 28","01103","KYIV","UA","UA","50.4500336,30.5241361","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/899486433/879557","2023-03-10 20:16:12",1971433,8,"participant",NA,NA,"","false","false"
770686,"EEN-Ukraine",938295066,"","MINISTRY OF FOREIGN AFFAIRS","MINISTRY OF FOREIGN AFFAIRS OF UKRAINE","false","PUB","MYKHAILIVSKA SQUARE 1","01018","KYIV","UA","UA","50.456948440619016,30.52140968889898","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/938295066/770686","2022-08-16 10:55:27",3099134,5,"participant",0,0,"0","false","false"
770686,"EEN-Ukraine",927605666,"","MINISTRY OF ECONOMY OF UKRAINE","MINISTRY OF ECONOMY OF UKRAINE","false","PUB","HRUSHEVSKOHO ST 12/2","01008","KYIV","UA","UA","50.4500336,30.5241361","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/927605666/770686","2022-08-16 10:55:27",3099136,7,"participant",0,0,"0","false","false"
770686,"EEN-Ukraine",899486433,"","STATE INSTITUTION ENTREPRENEURSHIP AND EXPORT PROMOTION OFFICE","","false","PUB","BOULEVARD DRUZHBY NARODIV 28","01103","KYIV","UA","UA","50.4500336,30.5241361","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/899486433/770686","2022-08-16 10:55:27",1971433,8,"participant",NA,0,"","false","false"
831208,"PROSME-INN",952777554,"","MINISTERUL ECONOMIEI, COMERTULUI SI TURISMULUI","","false","PUB","CALEA VICTORIEI 152/1","010096","Bucuresti","RO","RO321","44.4448031,26.0917676","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952777554/831208","2022-08-28 23:24:50",2561329,2,"participant",0,0,"0","false","false"
879110,"PROSME INN",952777554,"","MINISTERUL ECONOMIEI, COMERTULUI SI TURISMULUI","","false","PUB","CALEA VICTORIEI 152/1","010096","Bucuresti","RO","RO321","44.4448031,26.0917676","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952777554/879110","2023-12-19 19:10:49",2561329,2,"participant",0,0,"0","false","false"
741617,"PROSME-INN",952777554,"","MINISTERUL ECONOMIEI, COMERTULUI SI TURISMULUI","","false","PUB","CALEA VICTORIEI 152/1","010096","Bucuresti","RO","RO321","44.4448031,26.0917676","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952777554/741617","2022-10-19 15:04:01",2561329,2,"participant",0,0,"0","false","false"
776379,"GRIMASSE",953609135,"","AGENCE POUR LA SECURITE DE LA NAVIGATION AERIENNE EN AFRIQUE ET A MADAGASCAR","ASECNA","false","PUB","AVENUE JEAN JAURES 32-38","","Dakar","SN","SN","14.6691189,-17.4396711","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/953609135/776379","2024-07-23 08:54:31",2373255,7,"participant",50000,50000,"50000","false",""
674805,"PROSME-INN",952777554,"","MINISTERUL ECONOMIEI, COMERTULUI SI TURISMULUI","","false","PUB","CALEA VICTORIEI 152/1","010096","Bucuresti","RO","RO321","44.4448031,26.0917676","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952777554/674805","2022-08-11 16:17:22",2561329,2,"participant",0,0,"0","false","false"
672664,"MAGIC SWF SMEs II",914046424,"FR36130022494","CHAMBRE DE COMMERCE ET D'INDUSTRIEDE REGION NOUVELLE-AQUITAINE","CHAMBRE DE COMMERCE ET D'INDUSTRIEDE REGION NOUVELLE-AQUITAINE","false","PUB","2 PLACE DE LA BOURSE","33050","BORDEAUX","FR","FRI12","44.840934,-0.5702746","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/914046424/672664","2022-08-16 19:14:25",3096454,4,"participant",53699.3,53699.3,"53699,3","false",""
672664,"MAGIC SWF SMEs II",915515586,"FR85130022478","CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION OCCITANIE","CCI  OCCITANIE","false","PUB","5 RUE DIEUDONNE COSTES","31701","BLAGNAC","FR","FRJ23","43.6317284,1.3791356","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/915515586/672664","2022-08-16 19:14:25",2867746,1,"coordinator",25456.25,25456.25,"25456,25","false",""
672664,"MAGIC SWF SMEs II",921821168,"","REGION NOUVELLE-AQUITAINE","","false","PUB","14 RUE FRANCOIS DE SOURDIS","33077","Bordeaux","FR","FRI12","44.8365393,-0.5892062","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/921821168/672664","2022-08-16 19:14:25",2567454,5,"participant",0,0,"0","false","false"
831272,"EEN Scotland EIMC",999763772,"","SCOTTISH ENTERPRISE","","false","PUB","WATERLOO STREET 50","G2 8LU","Glasgow","UK","UKM82","55.8606404,-4.26111679272171","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999763772/831272","2022-08-17 12:36:10",1923332,1,"coordinator",107270,107270,"107270","false",""
831272,"EEN Scotland EIMC",932374671,"GB663758203","THE HIGHLAND COUNCIL","THE HIGHLAND COUNCIL","false","PUB","GLENURQUHART ROAD","IV3 5NX","INVERNESS","UK","UKM62","57.4649704,-4.2428121","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932374671/831272","2022-08-17 12:36:10",2997804,4,"participant",0,0,"0","false","false"
879448,"EEN Scotland EIMC",999763772,"","SCOTTISH ENTERPRISE","","false","PUB","WATERLOO STREET 50","G2 8LU","Glasgow","UK","UKM82","55.8606404,-4.26111679272171","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999763772/879448","2022-10-28 14:08:55",1923332,1,"coordinator",228100,228100,"228100","false",""
879448,"EEN Scotland EIMC",932374671,"GB663758203","THE HIGHLAND COUNCIL","THE HIGHLAND COUNCIL","false","PUB","GLENURQUHART ROAD","IV3 5NX","INVERNESS","UK","UKM62","57.4649704,-4.2428121","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932374671/879448","2022-10-28 14:08:55",2997804,4,"participant",0,0,"0","false","false"
643126,"UK150330_IMCpilot",999763772,"","SCOTTISH ENTERPRISE","","false","PUB","WATERLOO STREET 50","G2 8LU","Glasgow","UK","UKM82","55.8606404,-4.26111679272171","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999763772/643126","2022-08-08 08:52:48",1923332,1,"coordinator",35584,35584,"44480","false",""
643126,"UK150330_IMCpilot",947185019,"GB265856420","HIGHLANDS & ISLANDS ENTERPRISE","","false","PUB","Cowan House, Inverness Retail and Business Park","IV2 7GF","Inverness","UK","UK","57.4790124,-4.2257389","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/947185019/643126","2022-08-08 08:52:48",2348573,2,"participant",9216,9216,"11520","false",""
738231,"EEN Scotland EIMC",999763772,"","SCOTTISH ENTERPRISE","","false","PUB","WATERLOO STREET 50","G2 8LU","Glasgow","UK","UKM82","55.8606404,-4.26111679272171","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999763772/738231","2022-09-04 00:02:16",1923332,1,"coordinator",179270,179270,"179270","false",""
738231,"EEN Scotland EIMC",932374671,"GB663758203","THE HIGHLAND COUNCIL","THE HIGHLAND COUNCIL","false","PUB","GLENURQUHART ROAD","IV3 5NX","INVERNESS","UK","UKM62","57.4649704,-4.2428121","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932374671/738231","2022-09-04 00:02:16",2997804,4,"participant",0,0,"0","false",""
730834,"PLIS",999763772,"","SCOTTISH ENTERPRISE","","false","PUB","WATERLOO STREET 50","G2 8LU","Glasgow","UK","UKM82","55.8606404,-4.26111679272171","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999763772/730834","2022-09-03 23:17:50",1923332,4,"participant",0,0,"0","false",""
730834,"PLIS",984098466,"ESS0800476D","AGENCIA PER A LA COMPETITIVITAT DE LA EMPRESA","ACCIO","false","PUB","PASSEIG DE GRACIA 129","08008","Barcelona","ES","ES511","41.397578,2.1576574","http://www.acc10.cat","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/984098466/730834","2022-09-03 23:17:50",1906791,1,"coordinator",50000,50000,"50000","false",""
730834,"PLIS",999913540,"","CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO AGRICOLTURA DI TORINO","","false","PUB","Via Carlo Alberto 16","10123","Torino","IT","ITC11","45.0619041,7.6816368","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999913540/730834","2022-09-03 23:17:50",2419900,2,"participant",0,0,"0","false",""
674843,"EES Innovation CSA",999763772,"","SCOTTISH ENTERPRISE","","false","PUB","WATERLOO STREET 50","G2 8LU","Glasgow","UK","UKM82","55.8606404,-4.26111679272171","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999763772/674843","2022-09-03 22:57:18",1923332,1,"coordinator",173600,173600,"173600","false",""
674843,"EES Innovation CSA",947185019,"GB265856420","HIGHLANDS & ISLANDS ENTERPRISE","","false","PUB","Cowan House, Inverness Retail and Business Park","IV2 7GF","Inverness","UK","UK","57.4790124,-4.2257389","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/947185019/674843","2022-09-03 22:57:18",2348573,2,"participant",22400,22400,"22400","false",""
674843,"EES Innovation CSA",932374671,"GB663758203","THE HIGHLAND COUNCIL","THE HIGHLAND COUNCIL","false","PUB","GLENURQUHART ROAD","IV3 5NX","INVERNESS","UK","UKM62","57.4649704,-4.2428121","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932374671/674843","2022-09-03 22:57:18",2997804,4,"participant",0,0,"0","false",""
730848,"Spin-off growth",950640062,"ESQ5095004G","INSTITUTO ARAGONES DE FOMENTO","IAF","false","PUB","CALLE TC VALENZUELA 9","50004","Zaragoza","ES","ES243","41.6521342,-0.8809427","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/950640062/730848","2022-09-03 23:17:11",2677837,1,"coordinator",50000,50000,"50000","false",""
730848,"Spin-off growth",914046424,"FR36130022494","CHAMBRE DE COMMERCE ET D'INDUSTRIEDE REGION NOUVELLE-AQUITAINE","CHAMBRE DE COMMERCE ET D'INDUSTRIEDE REGION NOUVELLE-AQUITAINE","false","PUB","2 PLACE DE LA BOURSE","33050","BORDEAUX","FR","FRI12","44.840934,-0.5702746","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/914046424/730848","2022-09-03 23:17:11",3096454,3,"participant",0,0,"0","false",""
674862,"INMANCAP2",972778178,"","MINISTERIE VAN ECONOMISCHE ZAKEN","MINISTRY OF ECONOMIC AFFAIRS","false","PUB","BEZUIDENHOUTSEWEG  73","2595 AC","The Hague","NL","NL361","51.9478979,4.4195023","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972778178/674862","2022-08-11 10:23:21",1905707,1,"coordinator",327600,327600,"327600","false",""
674862,"INMANCAP2",948045603,"NL823807071B01","KAMER VAN KOOPHANDEL","KAMER VAN KOOPHANDEL","false","PUB","SINT JACOBSSTRAAT 300","3511 BT","Utrecht","NL","NL310","52.0949438,5.1127261","https://www.kvk.nl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/948045603/674862","2022-08-11 10:23:21",1917353,2,"participant",476885,476885,"476885","false",""
739564,"INMANCAP 2017_18",972778178,"","MINISTERIE VAN ECONOMISCHE ZAKEN","MINISTRY OF ECONOMIC AFFAIRS","false","PUB","BEZUIDENHOUTSEWEG  73","2595 AC","The Hague","NL","NL361","51.9478979,4.4195023","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972778178/739564","2022-08-23 22:28:06",1905707,1,"coordinator",204480,204480,"204480","false",""
739564,"INMANCAP 2017_18",948045603,"NL823807071B01","KAMER VAN KOOPHANDEL","KAMER VAN KOOPHANDEL","false","PUB","SINT JACOBSSTRAAT 300","3511 BT","Utrecht","NL","NL310","52.0949438,5.1127261","https://www.kvk.nl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/948045603/739564","2022-08-23 22:28:06",1917353,2,"participant",705425,705425,"705425","false",""
879000,"INMANCAP 2020_21",972778178,"","MINISTERIE VAN ECONOMISCHE ZAKEN","MINISTRY OF ECONOMIC AFFAIRS","false","PUB","BEZUIDENHOUTSEWEG  73","2595 AC","The Hague","NL","NL361","51.9478979,4.4195023","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972778178/879000","2022-10-28 14:12:00",1905707,1,"coordinator",160700,160700,"160700","false",""
879000,"INMANCAP 2020_21",948045603,"NL823807071B01","KAMER VAN KOOPHANDEL","KAMER VAN KOOPHANDEL","false","PUB","SINT JACOBSSTRAAT 300","3511 BT","Utrecht","NL","NL310","52.0949438,5.1127261","https://www.kvk.nl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/948045603/879000","2022-10-28 14:12:00",1917353,2,"participant",853341,853341,"853341,25","false",""
759596,"innoPROCUR",972778178,"","MINISTERIE VAN ECONOMISCHE ZAKEN","MINISTRY OF ECONOMIC AFFAIRS","false","PUB","BEZUIDENHOUTSEWEG  73","2595 AC","The Hague","NL","NL361","51.9478979,4.4195023","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972778178/759596","2022-08-09 09:08:18",1905707,2,"participant",0,0,"0","false",""
831207,"INMANCAP_2019",972778178,"","MINISTERIE VAN ECONOMISCHE ZAKEN","MINISTRY OF ECONOMIC AFFAIRS","false","PUB","BEZUIDENHOUTSEWEG  73","2595 AC","The Hague","NL","NL361","51.9478979,4.4195023","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972778178/831207","2022-08-25 16:34:05",1905707,1,"coordinator",113366.25,113366.25,"113366,25","false",""
831207,"INMANCAP_2019",948045603,"NL823807071B01","KAMER VAN KOOPHANDEL","KAMER VAN KOOPHANDEL","false","PUB","SINT JACOBSSTRAAT 300","3511 BT","Utrecht","NL","NL310","52.0949438,5.1127261","https://www.kvk.nl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/948045603/831207","2022-08-25 16:34:05",1917353,2,"participant",364811.25,364811.25,"364811,25","false",""
641896,"INMANCAP NL",972778178,"","MINISTERIE VAN ECONOMISCHE ZAKEN","MINISTRY OF ECONOMIC AFFAIRS","false","PUB","BEZUIDENHOUTSEWEG  73","2595 AC","The Hague","NL","NL361","51.9478979,4.4195023","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972778178/641896","2022-08-11 12:21:35",1905707,1,"coordinator",36660,36660,"45825","false",""
641896,"INMANCAP NL",948045603,"NL823807071B01","KAMER VAN KOOPHANDEL","KAMER VAN KOOPHANDEL","false","PUB","SINT JACOBSSTRAAT 300","3511 BT","Utrecht","NL","NL310","52.0949438,5.1127261","https://www.kvk.nl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/948045603/641896","2022-08-11 12:21:35",1917353,2,"participant",145340,145340,"181675","false",""
643332,"SEIMED-INNOSUP",996731843,"ESQ8050004D","INSTITUTO DE FOMENTO DE LA REGION DE MURCIA","","false","PUB","AVENIDA DE LA FAMA 3","30003","Murcia","ES","ES620","37.987348,-1.1199358","http://www.ifrm-murcia.es","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996731843/643332","2022-09-04 00:03:57",1906805,2,"participant",18667,18667,"23333,75","false",""
643332,"SEIMED-INNOSUP",999915577,"ESQ4640001F","INSTITUTO VALENCIANO DE LA COMPETITIVIDAD EMPRESARIAL","IVACE","false","PUB","CALLE DE LA DEMOCRACIA 77","46018","Valencia","ES","ES523","39.4699014,-0.3759512","http://www.ivace.es","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999915577/643332","2022-09-04 00:03:57",1966048,1,"coordinator",37333,37333,"46666,25","false",""
824206,"inDemand-RCT",996731843,"ESQ8050004D","INSTITUTO DE FOMENTO DE LA REGION DE MURCIA","","false","PUB","AVENIDA DE LA FAMA 3","30003","Murcia","ES","ES620","37.987348,-1.1199358","http://www.ifrm-murcia.es","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996731843/824206","2024-04-02 16:39:49",1906805,1,"coordinator",497500,497500,"497500","false",""
847396,"MF 2019",999549111,"FI05126964","INNOVAATIORAHOITUSKESKUS BUSINESS FINLAND","","false","PUB","PO BOX 69","00101","Helsinki","FI","FI1B1","60.1606009,24.9552378","http://www.tekes.fi","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999549111/847396","2022-08-17 12:38:08",1906766,1,"coordinator",1e+05,12000,"245702,5","false",""
101035794,"EuroNanoForum 2021",999543970,"PT503904040","FUNDACAO PARA A CIENCIA E A TECNOLOGIA","FCT","false","PUB","AVENIDA D CARLOS I  126","1249 074","Lisboa","PT","PT1A0","38.7077926,-9.136506","http://www.fct.mctes.pt","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999543970/101035794","2022-08-25 21:06:21",1905606,2,"participant",3900.52,1950.26,"3900,52","false",""
693599,"FLOOD-serv",998295095,"IT00856930102","COMUNE DI GENOVA","CDG","false","PUB","VIA GARIBALDI 9","16124","Genova","IT","ITC33","44.41152365,8.93253007161658","https://www.mumagenova.it","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998295095/693599","2022-08-18 09:39:53",1916268,5,"participant",248375,248375,"248375","false",""
693599,"FLOOD-serv",927723230,"","BRATISLAVSKY SAMOSPRAVNY KRAJ","BRATISLAVSKY KRAJ","false","PUB","SABINOVSKA 16","82005","BRATISLAVA","SK","SK010","48.16072585,17.1479286835147","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/927723230/693599","2022-08-18 09:39:53",2592807,11,"participant",65000,65000,"65000","false",""
693599,"FLOOD-serv",968728137,"","INSTITUTIA PREFECTULUI JUDETUL TULCEA","","false","PUB","STR PACII 20","820009","Tulcea","RO","RO225","45.17617865,28.8049661778048","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/968728137/693599","2022-08-18 09:39:53",2592806,10,"participant",54750,54750,"54750","false",""
693599,"FLOOD-serv",927571716,"PT506663264","MUNICIPIO DE VILA NOVA DE FAMALICAO","","false","PUB","PRACA ALVARO MARQUES","4764-502","VILA NOVA DE FAMALICAO","PT","PT119","41.4098372,-8.5202048","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/927571716/693599","2022-08-18 09:39:53",2592808,12,"participant",112500,112500,"112500","false",""
693599,"FLOOD-serv",997580302,"ESP4802400D","AYUNTAMIENTO DE BILBAO","","false","PUB","PLAZA ERNESTO ERKOREKA 1","48007","Bilbao","ES","ES213","43.2629489,-2.9349458","https://www.bilbao.net","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/997580302/693599","2022-08-18 09:39:53",1916263,7,"participant",117425,117425,"117425","false",""
767162,"INDTECH2018",999633695,"","BUNDESMINISTERIUM FUR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITAT, INNOVATION UND TECHNOLOGIE","FEDERAL MINISTRY FOR CLIMATE PROTECTION, ENVIRONMENT, ENERGY, MOBILITY, INNOVATION AND TECHNOLOGY","false","PUB","RADETZKYSTRASSE  2","1030","Wien","AT","AT130","48.21057235000001,16.38605184225083","http://www.bmvit.gv.at","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999633695/767162","2022-09-04 01:37:07",1906832,2,"participant",78000,78000,"157556,25","false",""
739513,"EENINNOAUSTRIA2",999728658,"ATU37165704","WIRTSCHAFTSKAMMER OSTERREICH","WKO","false","PUB","WIEDNER HAUPTSTRASSE 63","1045","Wien","AT","AT130","48.1898749,16.36765120784018","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999728658/739513","2022-08-16 00:16:23",2129630,1,"coordinator",0,0,"0","false",""
739513,"EENINNOAUSTRIA2",944988163,"","WIRTSCHAFTSKAMMER KARNTEN - CHAMBER OF COMMERCE OF CARINTHIA","WKK","false","PUB","EUROPAPLATZ 1","9021","Klagenfurt am Wörthersee","AT","AT211","46.618038600000006,14.311794946896047","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/944988163/739513","2022-08-16 00:16:23",2419828,8,"participant",29950,29950,"29950","false",""
